,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,journey_month,journey_day,journey_dow,dep_hour,arr_hour,duration_mins,n_stops,has_meal,no_checkin,business_cls,red_eye,dep_period,is_weekend
9527,Jet Airways,2019-06-12,Mumbai,Hyderabad,BOM → HYD,02:55,04:20,1h 25m,non-stop,No info,5678.0,6.0,12.0,2.0,2.0,4.0,85.0,0.0,0,0,0,0,Night,0
9529,Jet Airways,2019-05-01,Kolkata,Banglore,CCU → BOM → BLR,21:10,08:15 02 May,11h 5m,1 stop,No info,14781.0,5.0,1.0,2.0,21.0,8.0,665.0,1.0,0,0,0,0,Night,0
9530,Air India,2019-03-27,Delhi,Cochin,DEL → AMD → BOM → COK,05:00,19:15 28 Mar,38h 15m,2 stops,No info,8026.0,3.0,27.0,2.0,5.0,19.0,2295.0,2.0,0,0,0,0,Morning,0
9531,Air India,2019-03-24,Banglore,New Delhi,BLR → DEL,13:20,16:10,2h 50m,non-stop,No info,7276.0,3.0,24.0,6.0,13.0,16.0,170.0,0.0,0,0,0,0,Afternoon,1
9532,Jet Airways,2019-04-01,Kolkata,Banglore,CCU → BOM → BLR,08:25,18:15,9h 50m,1 stop,In-flight meal not included,7064.0,4.0,1.0,0.0,8.0,18.0,590.0,1.0,1,0,0,0,Morning,0
9533,Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1 stop,No info,13062.0,3.0,21.0,3.0,13.0,21.0,480.0,1.0,0,0,0,0,Afternoon,0
9534,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,11:30,21:00,9h 30m,1 stop,No info,12537.0,3.0,27.0,2.0,11.0,21.0,570.0,1.0,0,0,0,0,Morning,0
9535,Jet Airways,2019-03-15,Banglore,New Delhi,BLR → BOM → DEL,18:55,00:45 13 Mar,5h 50m,1 stop,No info,21934.0,3.0,15.0,4.0,18.0,0.0,350.0,1.0,0,0,0,0,Evening,0
9536,Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,13:00,19:00,6h,1 stop,In-flight meal not included,10262.0,6.0,24.0,0.0,13.0,19.0,360.0,1.0,1,0,0,0,Afternoon,0
9537,Vistara,2019-06-03,Banglore,Delhi,BLR → DEL,17:00,19:35,2h 35m,non-stop,No info,4878.0,6.0,3.0,0.0,17.0,19.0,155.0,0.0,0,0,0,0,Evening,0
9538,Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,14:00,,5h,1 stop,No info,14714.0,6.0,15.0,5.0,14.0,13.0,300.0,1.0,0,0,0,0,Afternoon,1
9539,Jet Airways,2019-03-15,Banglore,New Delhi,BLR → BOM → DEL,07:00,15:15,8h 15m,1 stop,,9134.0,3.0,15.0,4.0,7.0,15.0,495.0,1.0,0,0,0,0,Morning,0
9540,IndiGo,2019-04-01,Banglore,Delhi,BLR → DEL,16:55,19:55,3h,non-stop,No info,4823.0,4.0,1.0,0.0,16.0,19.0,180.0,0.0,0,0,0,0,Afternoon,0
9541,Multiple carriers,2019-06-27,Delhi,Cochin,DEL → HYD → COK,07:10,16:10,9h,1 stop,In-flight meal not included,6093.0,6.0,27.0,3.0,7.0,16.0,540.0,1.0,1,0,0,0,Morning,0
9542,SpiceJet,2019-06-03,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No info,3597.0,6.0,3.0,0.0,8.0,10.0,135.0,0.0,0,0,0,0,Morning,0
9543,Multiple carriers,2019-05-09,Delhi,Cochin,DEL → BOM → COK,14:00,21:00,7h,1 stop,No info,13727.0,5.0,9.0,3.0,14.0,21.0,420.0,1.0,0,0,0,0,Afternoon,0
9544,IndiGo,2019-04-01,Kolkata,Banglore,CCU → BLR,11:30,14:05,2h 35m,non-stop,No info,4174.0,4.0,1.0,0.0,11.0,14.0,155.0,0.0,0,0,0,0,Morning,0
9545,Jet Airways,2019-06-27,Delhi,Cochin,DEL → BOM → COK,11:30,19:00,7h 30m,1 stop,In-flight meal not included,10262.0,6.0,27.0,3.0,11.0,19.0,450.0,1.0,1,0,0,0,Morning,0
9546,Multiple carriers,2019-06-06,Delhi,Cochin,DEL → BOM → COK,10:20,19:00,8h 40m,1 stop,No info,11789.0,6.0,6.0,3.0,10.0,19.0,520.0,1.0,0,0,0,0,Morning,0
9547,Jet Airways,2019-05-01,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15 02 May,13h 20m,1 stop,In-flight meal not included,8586.0,5.0,1.0,2.0,18.0,8.0,800.0,1.0,1,0,0,0,Evening,0
9548,Air India,2019-03-01,Banglore,New Delhi,BLR → CCU → BBI → HYD → DEL,05:50,08:50 02 Mar,27h,3 stops,No info,13081.0,3.0,1.0,4.0,5.0,8.0,1620.0,3.0,0,0,0,0,Morning,0
9549,Jet Airways,2019-05-01,Kolkata,Banglore,CCU → DEL → BLR,20:25,23:35 02 May,27h 10m,1 stop,In-flight meal not included,9314.0,5.0,1.0,2.0,20.0,23.0,1630.0,1.0,1,0,0,0,Evening,0
9551,Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,9h,1 stop,In-flight meal not included,11924.0,5.0,27.0,0.0,10.0,19.0,540.0,1.0,1,0,0,0,Morning,0
9552,Jet Airways,2019-06-09,Kolkata,Banglore,CCU → DEL → BLR,20:25,23:35 10 Jun,27h 10m,1 stop,No info,12692.0,6.0,9.0,6.0,20.0,23.0,1630.0,1.0,0,0,0,0,Evening,1
9553,Jet Airways,2019-06-24,Banglore,Delhi,BLR → DEL,18:55,22:00,3h 5m,non-stop,In-flight meal not included,6478.0,6.0,24.0,0.0,18.0,22.0,185.0,0.0,1,0,0,0,Evening,0
9554,IndiGo,2019-05-15,Kolkata,Banglore,CCU → MAA → BLR,06:20,10:20,4h,1 stop,No info,4226.0,5.0,15.0,2.0,6.0,10.0,240.0,1.0,0,0,0,0,Morning,0
9556,Air India,2019-03-06,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,9340.0,3.0,6.0,2.0,11.0,13.0,135.0,0.0,0,0,0,0,Morning,0
9559,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,06:30,12:00,5h 30m,1 stop,,9663.0,5.0,24.0,4.0,6.0,12.0,330.0,1.0,0,0,0,0,Morning,0
9560,Jet Airways,2019-03-06,Delhi,Cochin,DEL → IDR → BOM → COK,05:25,04:25 07 Mar,23h,2 stops,In-flight meal not included,16389.0,3.0,6.0,2.0,5.0,4.0,1380.0,2.0,1,0,0,0,Morning,0
9561,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,03:50,19:00,15h 10m,1 stop,No info,10197.0,5.0,18.0,5.0,3.0,19.0,910.0,1.0,0,0,0,0,Night,1
9563,Jet Airways,2019-03-12,Banglore,New Delhi,BLR → BOM → DEL,21:25,11:25 13 Mar,14h,1 stop,No info,13817.0,3.0,12.0,1.0,21.0,11.0,840.0,1.0,0,0,0,0,Night,0
9564,Jet Airways,2019-04-15,Banglore,Delhi,BLR → DEL,17:45,20:45,3h,non-stop,No info,7229.0,4.0,15.0,0.0,17.0,20.0,180.0,0.0,0,0,0,0,Evening,0
9565,Jet Airways,2019-06-24,Delhi,Cochin,,09:40,04:25 25 Jun,18h 45m,2 stops,In-flight meal not included,10368.0,6.0,24.0,0.0,9.0,4.0,1125.0,2.0,1,0,0,0,Morning,0
9566,Air Asia,2019-05-15,Banglore,Delhi,BLR → DEL,04:55,07:45,2h 50m,non-stop,No info,4282.0,5.0,15.0,2.0,4.0,7.0,170.0,0.0,0,0,0,0,Night,0
9567,Jet Airways,2019-06-12,Delhi,Cochin,DEL → IDR → BOM → COK,09:35,04:25 13 Jun,18h 50m,2 stops,No info,13292.0,6.0,12.0,2.0,9.0,4.0,1130.0,2.0,0,0,0,0,Morning,0
9568,Jet Airways,,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,12:35 28 Jun,17h 5m,2 stops,No info,13764.0,5.0,12.0,3.0,19.0,12.0,1025.0,2.0,0,0,0,0,Evening,0
9569,Jet Airways,2019-04-01,Kolkata,Banglore,CCU → BOM → BLR,18:55,16:20 02 Apr,21h 25m,1 stop,No info,12681.0,4.0,1.0,0.0,18.0,16.0,1285.0,1.0,0,0,0,0,Evening,0
9571,Multiple carriers,2019-03-09,Delhi,Cochin,DEL → BOM → COK,07:30,19:45,12h 15m,1 stop,No info,12615.0,3.0,9.0,5.0,7.0,19.0,735.0,1.0,0,0,0,0,Morning,1
9574,SpiceJet,2019-05-03,Mumbai,Hyderabad,BOM → HYD,22:45,00:15 04 May,1h 30m,non-stop,No info,2227.0,5.0,3.0,4.0,22.0,0.0,90.0,0.0,0,0,0,0,Night,0
9575,Jet Airways,2019-06-18,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,No info,8016.0,6.0,18.0,1.0,19.0,22.0,180.0,0.0,0,0,0,0,Evening,0
9576,SpiceJet,2019-05-09,Banglore,Delhi,BLR → DEL,09:30,12:20,2h 50m,non-stop,No check-in baggage included,4885.0,5.0,9.0,3.0,9.0,12.0,170.0,0.0,0,1,0,0,Morning,0
9577,IndiGo,2019-04-01,Kolkata,Banglore,CCU → BLR,09:35,12:20,2h 45m,non-stop,No info,4174.0,4.0,1.0,0.0,9.0,12.0,165.0,0.0,0,0,0,0,Morning,0
9578,Air Asia,2019-05-09,Kolkata,Banglore,CCU → BBI → BLR,06:50,10:30,3h 40m,1 stop,No info,5162.0,5.0,9.0,3.0,6.0,10.0,220.0,1.0,0,0,0,0,Morning,0
9581,Air India,2019-05-27,Delhi,Cochin,DEL → BOM → COK,18:00,19:15 28 May,25h 15m,1 stop,No info,8372.0,5.0,27.0,0.0,18.0,19.0,1515.0,1.0,0,0,0,0,Evening,0
9582,IndiGo,2019-06-12,Banglore,Delhi,,00:30,03:25,2h 55m,non-stop,No info,3419.0,6.0,12.0,2.0,0.0,3.0,175.0,0.0,0,0,0,0,Night,0
9584,IndiGo,2019-06-06,Delhi,Cochin,DEL → BOM → COK,16:00,,5h,1 stop,No info,6069.0,6.0,6.0,3.0,16.0,13.0,300.0,1.0,0,0,0,0,Afternoon,0
9585,IndiGo,2019-03-21,Delhi,Cochin,DEL → BOM → COK,08:25,15:30,7h 5m,1 stop,No info,9709.0,3.0,21.0,3.0,8.0,15.0,425.0,1.0,0,0,0,0,Morning,0
9586,Jet Airways,2019-06-12,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,12:35 13 Jun,26h 55m,2 stops,No info,13014.0,6.0,12.0,2.0,9.0,12.0,1615.0,2.0,0,0,0,0,Morning,0
9587,Jet Airways,2019-05-18,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,19:00,9h 20m,2 stops,In-flight meal not included,13029.0,5.0,18.0,5.0,9.0,19.0,560.0,2.0,1,0,0,0,Morning,1
9588,Multiple carriers,2019-05-15,Delhi,Cochin,DEL → BOM → COK,08:00,21:00,13h,1 stop,No info,13937.0,5.0,15.0,2.0,8.0,21.0,780.0,1.0,0,0,0,0,Morning,0
9589,SpiceJet,2019-03-03,Delhi,Cochin,DEL → MAA → COK,15:55,21:55,6h,1 stop,No info,11349.0,3.0,3.0,6.0,15.0,21.0,360.0,1.0,0,0,0,0,Afternoon,1
9590,Jet Airways,2019-05-21,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,04:25 23 May,29h 20m,2 stops,No info,15129.0,5.0,21.0,1.0,23.0,4.0,1760.0,2.0,0,0,0,0,Night,0
9591,SpiceJet,2019-06-09,Chennai,Kolkata,MAA → CCU,09:45,12:00,2h 15m,non-stop,No info,3597.0,6.0,9.0,6.0,9.0,12.0,135.0,0.0,0,0,0,0,Morning,1
9592,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,20:00,20:45 07 May,24h 45m,1 stop,No info,14388.0,5.0,6.0,0.0,20.0,20.0,1485.0,1.0,0,0,0,0,Evening,0
9593,Jet Airways,2019-03-09,Banglore,New Delhi,BLR → BOM → DEL,08:00,10:25 13 Mar,26h 25m,1 stop,In-flight meal not included,11087.0,3.0,9.0,5.0,8.0,10.0,1585.0,1.0,1,0,0,0,Morning,1
9594,Jet Airways,2019-05-01,Kolkata,Banglore,CCU → BOM → BLR,14:05,09:20 02 May,19h 15m,1 stop,In-flight meal not included,9663.0,5.0,1.0,2.0,14.0,9.0,1155.0,1.0,1,0,0,0,Afternoon,0
9595,Jet Airways,2019-06-01,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 02 Jun,22h 55m,2 stops,No info,13014.0,6.0,1.0,5.0,5.0,4.0,1375.0,2.0,0,0,0,0,Morning,1
9596,IndiGo,2019-06-06,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943.0,6.0,6.0,3.0,4.0,6.0,170.0,0.0,0,0,0,0,Night,0
9597,Air India,2019-03-15,Banglore,New Delhi,BLR → COK → DEL,22:00,13:20 16 Mar,15h 20m,1 stop,No info,8845.0,3.0,15.0,4.0,22.0,13.0,920.0,1.0,0,0,0,0,Night,0
9598,Air India,2019-03-24,Kolkata,Banglore,CCU → DEL → BLR,20:30,12:30 25 Mar,16h,1 stop,No info,12173.0,3.0,24.0,6.0,20.0,12.0,960.0,1.0,0,0,0,0,Evening,1
9600,Multiple carriers,2019-03-21,Delhi,Cochin,DEL → HYD → COK,09:45,16:10,6h 25m,1 stop,No info,7242.0,3.0,21.0,3.0,9.0,16.0,385.0,1.0,0,0,0,0,Morning,0
9601,Jet Airways,2019-06-24,Delhi,Cochin,DEL → IDR → BOM → COK,05:30,04:25 25 Jun,22h 55m,2 stops,No info,13292.0,6.0,24.0,0.0,5.0,4.0,1375.0,2.0,0,0,0,0,Morning,0
9602,IndiGo,2019-03-21,Banglore,New Delhi,BLR → AMD → DEL,14:25,19:25,5h,1 stop,No info,7708.0,3.0,21.0,3.0,14.0,19.0,300.0,1.0,0,0,0,0,Afternoon,0
9603,Jet Airways,2019-06-21,Mumbai,Hyderabad,BOM → HYD,08:45,10:15,1h 30m,non-stop,No info,8040.0,6.0,21.0,4.0,8.0,10.0,90.0,0.0,0,0,0,0,Morning,0
9604,SpiceJet,2019-05-12,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No info,3597.0,5.0,12.0,6.0,8.0,10.0,135.0,0.0,0,0,0,0,Morning,1
9606,Air India,2019-05-15,Kolkata,Banglore,CCU → DEL → BLR,17:30,20:25 16 May,26h 55m,1 stop,No info,10203.0,5.0,15.0,2.0,17.0,20.0,1615.0,1.0,0,0,0,0,Evening,0
9607,IndiGo,2019-04-27,Delhi,Cochin,DEL → BLR → COK,02:00,07:45,5h 45m,1 stop,No info,7173.0,4.0,27.0,5.0,2.0,7.0,345.0,1.0,0,0,0,0,Night,1
9608,SpiceJet,2019-06-09,Mumbai,Hyderabad,BOM → HYD,22:45,00:15 10 Jun,1h 30m,non-stop,No check-in baggage included,1965.0,6.0,9.0,6.0,22.0,0.0,90.0,0.0,0,1,0,0,Night,1
9609,IndiGo,2019-06-06,Delhi,Cochin,DEL → BOM → COK,20:25,01:30 07 Jun,5h 5m,1 stop,No info,5054.0,6.0,6.0,3.0,20.0,1.0,305.0,1.0,0,0,0,0,Evening,0
9611,Jet Airways,,Banglore,New Delhi,BLR → BOM → DEL,05:45,21:20,15h 35m,1 stop,No info,27992.0,5.0,12.0,3.0,5.0,21.0,935.0,1.0,0,0,0,0,Morning,0
9612,Jet Airways,2019-05-09,Kolkata,Banglore,CCU → DEL → BLR,17:00,18:00 10 May,25h,1 stop,In-flight meal not included,7341.0,5.0,9.0,3.0,17.0,18.0,1500.0,1.0,1,0,0,0,Evening,0
9613,SpiceJet,2019-06-03,Banglore,Delhi,BLR → DEL,09:30,12:20,2h 50m,non-stop,No check-in baggage included,3919.0,6.0,3.0,0.0,9.0,12.0,170.0,0.0,0,1,0,0,Morning,0
9614,Jet Airways,2019-03-27,Delhi,Cochin,DEL → BOM → COK,15:05,04:25 28 Mar,13h 20m,1 stop,No info,12242.0,3.0,27.0,2.0,15.0,4.0,800.0,1.0,0,0,0,0,Afternoon,0
9615,Jet Airways,2019-05-18,Kolkata,Banglore,CCU → DEL → BLR,09:35,14:25 19 May,28h 50m,1 stop,No info,13067.0,5.0,18.0,5.0,9.0,14.0,1730.0,1.0,0,0,0,0,Morning,1
9617,Air Asia,2019-04-21,Kolkata,Banglore,CCU → BLR,22:50,01:20 22 Apr,2h 30m,non-stop,No info,5645.0,4.0,21.0,6.0,22.0,1.0,150.0,0.0,0,0,0,0,Night,1
9619,Multiple carriers,2019-06-09,Delhi,Cochin,DEL → BOM → COK,16:00,01:30 10 Jun,9h 30m,1 stop,,13587.0,6.0,9.0,6.0,16.0,1.0,570.0,1.0,0,0,0,0,Afternoon,1
9620,IndiGo,2019-06-21,Chennai,Kolkata,MAA → CCU,13:15,15:35,2h 20m,non-stop,No info,3597.0,6.0,21.0,4.0,13.0,15.0,140.0,0.0,0,0,0,0,Afternoon,0
9621,Air India,2019-05-18,Delhi,Cochin,DEL → BOM → COK,10:00,19:15,9h 15m,1 stop,No info,8879.0,5.0,18.0,5.0,10.0,19.0,555.0,1.0,0,0,0,0,Morning,1
9622,SpiceJet,2019-04-21,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,4319.0,4.0,21.0,6.0,5.0,8.0,160.0,0.0,0,1,0,0,Morning,1
9623,Air India,2019-03-27,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,non-stop,No info,2050.0,3.0,27.0,2.0,13.0,15.0,90.0,0.0,0,0,0,0,Afternoon,0
9624,Jet Airways,2019-06-03,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,non-stop,No info,8040.0,6.0,3.0,0.0,7.0,8.0,85.0,0.0,0,0,0,0,Morning,0
9625,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15 07 May,13h 20m,1 stop,No info,13584.0,5.0,6.0,0.0,18.0,8.0,800.0,1.0,0,0,0,0,Evening,0
9626,Jet Airways,2019-06-06,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25 07 Jun,8h 55m,2 stops,No info,13014.0,6.0,6.0,3.0,19.0,4.0,535.0,2.0,0,0,0,0,Evening,0
9627,Vistara,2019-05-15,Kolkata,Banglore,CCU → DEL → BLR,07:10,18:50,11h 40m,1 stop,No info,9345.0,5.0,15.0,2.0,7.0,18.0,700.0,1.0,0,0,0,0,Morning,0
9628,Jet Airways,2019-06-03,Delhi,Cochin,DEL → IDR → BOM → COK,09:35,12:35 04 Jun,27h,2 stops,In-flight meal not included,11507.0,6.0,3.0,0.0,9.0,12.0,1620.0,2.0,1,0,0,0,Morning,0
9629,Multiple carriers,2019-06-06,Delhi,Cochin,DEL → BOM → COK,06:00,19:15,13h 15m,1 stop,No info,8266.0,6.0,6.0,3.0,6.0,19.0,795.0,1.0,0,0,0,0,Morning,0
9630,Jet Airways,2019-03-24,Mumbai,Hyderabad,BOM → HYD,02:55,04:25,1h 30m,non-stop,No info,5678.0,3.0,24.0,6.0,2.0,4.0,90.0,0.0,0,0,0,0,Night,1
9631,Multiple carriers,2019-06-12,Delhi,Cochin,DEL → BOM → COK,13:00,01:30 13 Jun,12h 30m,1 stop,No info,13377.0,6.0,12.0,2.0,13.0,1.0,750.0,1.0,0,0,0,0,Afternoon,0
9632,Vistara,2019-05-21,Kolkata,Banglore,CCU → DEL → BLR,07:10,18:50,11h 40m,1 stop,No info,9345.0,5.0,21.0,1.0,7.0,18.0,700.0,1.0,0,0,0,0,Morning,0
9633,IndiGo,2019-05-15,Delhi,Cochin,DEL → BOM → COK,18:35,01:30 16 May,6h 55m,1 stop,No info,7191.0,5.0,15.0,2.0,18.0,1.0,415.0,1.0,0,0,0,0,Evening,0
9634,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,17:45,01:35 28 Mar,7h 50m,1 stop,No info,7845.0,3.0,27.0,2.0,17.0,1.0,470.0,1.0,0,0,0,0,Evening,0
9635,Jet Airways,2019-05-21,Banglore,Delhi,BLR → DEL,11:10,14:05,2h 55m,non-stop,No info,7229.0,5.0,21.0,1.0,11.0,14.0,175.0,0.0,0,0,0,0,Morning,0
9638,IndiGo,2019-03-21,Delhi,Cochin,DEL → BOM → COK,07:30,21:00,13h 30m,1 stop,No info,8784.0,3.0,21.0,3.0,7.0,21.0,810.0,1.0,0,0,0,0,Morning,0
9640,Jet Airways,2019-05-21,Kolkata,Banglore,CCU → DEL → BLR,20:25,19:10 22 May,22h 45m,1 stop,No info,13067.0,5.0,21.0,1.0,20.0,19.0,1365.0,1.0,0,0,0,0,Evening,0
9641,Jet Airways,2019-06-27,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,In-flight meal not included,4995.0,6.0,27.0,3.0,10.0,11.0,90.0,0.0,1,0,0,0,Morning,0
9642,Air India,2019-06-03,Delhi,Cochin,DEL → LKO → BOM → COK,18:30,19:15 04 Jun,24h 45m,2 stops,No info,12488.0,6.0,3.0,0.0,18.0,19.0,1485.0,2.0,0,0,0,0,Evening,0
9643,Air Asia,2019-06-09,Kolkata,Banglore,CCU → DEL → BLR,07:35,23:30,15h 55m,1 stop,No info,7870.0,6.0,9.0,6.0,7.0,23.0,955.0,1.0,0,0,0,0,Morning,1
9644,Air India,2019-05-12,Delhi,Cochin,DEL → COK,05:10,08:00,2h 50m,non-stop,No info,6094.0,5.0,12.0,6.0,5.0,8.0,170.0,0.0,0,0,0,0,Morning,1
9645,Jet Airways,2019-06-12,Kolkata,Banglore,CCU → GAU → BLR,10:20,17:35,7h 15m,1 stop,In-flight meal not included,5608.0,6.0,12.0,2.0,10.0,17.0,435.0,1.0,1,0,0,0,Morning,0
9646,GoAir,2019-03-03,Delhi,Cochin,DEL → HYD → COK,07:30,13:20,5h 50m,1 stop,No info,6112.0,3.0,3.0,6.0,7.0,13.0,350.0,1.0,0,0,0,0,Morning,1
9647,Jet Airways,2019-03-06,Banglore,New Delhi,BLR → BOM → DEL,16:55,08:15 07 Mar,15h 20m,1 stop,No info,16736.0,3.0,6.0,2.0,16.0,8.0,920.0,1.0,0,0,0,0,Afternoon,0
9648,Vistara,2019-06-12,Kolkata,Banglore,CCU → DEL → BLR,20:20,10:45 13 Jun,14h 25m,1 stop,No info,8452.0,6.0,12.0,2.0,20.0,10.0,865.0,1.0,0,0,0,0,Evening,0
9649,Jet Airways,2019-05-09,Kolkata,Banglore,CCU → DEL → BLR,17:00,14:25 10 May,21h 25m,1 stop,In-flight meal not included,9314.0,5.0,9.0,3.0,17.0,14.0,1285.0,1.0,1,0,0,0,Evening,0
9650,IndiGo,2019-05-21,Chennai,Kolkata,MAA → CCU,07:55,10:15,2h 20m,non-stop,No info,3850.0,5.0,21.0,1.0,7.0,10.0,140.0,0.0,0,0,0,0,Morning,0
9652,Air India,2019-05-21,Delhi,Cochin,DEL → AMD → BOM → COK,05:00,19:15 22 May,38h 15m,2 stops,No info,9968.0,5.0,21.0,1.0,5.0,19.0,2295.0,2.0,0,0,0,0,Morning,0
9653,Jet Airways,2019-05-18,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,No info,9564.0,5.0,18.0,5.0,11.0,14.0,195.0,0.0,0,0,0,0,Morning,1
9654,IndiGo,,Delhi,Cochin,DEL → HYD → MAA → COK,06:40,21:20,14h 40m,2 stops,No info,6610.0,5.0,12.0,3.0,6.0,21.0,880.0,2.0,0,0,0,0,Morning,0
9656,Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,19:45,08:10 25 Mar,12h 25m,1 stop,No info,14231.0,3.0,24.0,6.0,19.0,8.0,745.0,1.0,0,0,0,0,Evening,1
9657,Jet Airways,2019-06-15,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,12:35 16 Jun,22h,2 stops,No info,13376.0,6.0,15.0,5.0,14.0,12.0,1320.0,2.0,0,0,0,0,Afternoon,1
9658,IndiGo,2019-05-27,Delhi,Cochin,DEL → HYD → COK,06:50,22:30,15h 40m,1 stop,No info,6674.0,5.0,27.0,0.0,6.0,22.0,940.0,1.0,0,0,0,0,Morning,0
9659,Multiple carriers,2019-06-15,Delhi,Cochin,DEL → BOM → COK,08:00,,13h,1 stop,,7408.0,6.0,15.0,5.0,8.0,13.0,780.0,1.0,0,0,0,0,Morning,1
9662,Air India,2019-03-12,Banglore,New Delhi,BLR → BOM → NAG → DEL,17:25,10:15 13 Mar,16h 50m,2 stops,No info,12778.0,3.0,12.0,1.0,17.0,10.0,1010.0,2.0,0,0,0,0,Evening,0
9663,Jet Airways,2019-06-09,Banglore,Delhi,BLR → DEL,17:45,20:45,3h,non-stop,In-flight meal not included,7229.0,6.0,9.0,6.0,17.0,20.0,180.0,0.0,1,0,0,0,Evening,1
9664,Jet Airways,2019-06-15,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,non-stop,No info,8016.0,6.0,15.0,5.0,8.0,11.0,180.0,0.0,0,0,0,0,Morning,1
9665,IndiGo,2019-05-27,Kolkata,Banglore,CCU → BLR,22:15,00:50 28 May,2h 35m,non-stop,No info,4804.0,5.0,27.0,0.0,22.0,0.0,155.0,0.0,0,0,0,0,Night,0
9666,Jet Airways,2019-06-21,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,non-stop,No info,8016.0,6.0,21.0,4.0,8.0,11.0,180.0,0.0,0,0,0,0,Morning,0
9667,Air Asia,2019-06-09,Kolkata,Banglore,CCU → BLR,10:20,12:55,2h 35m,non-stop,No info,5645.0,6.0,9.0,6.0,10.0,12.0,155.0,0.0,0,0,0,0,Morning,1
9668,Jet Airways,2019-03-09,Banglore,New Delhi,BLR → BOM → DEL,18:40,00:45 07 Mar,6h 5m,1 stop,No info,22270.0,3.0,9.0,5.0,18.0,0.0,365.0,1.0,0,0,0,0,Evening,1
9670,Jet Airways,2019-04-06,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5h 30m,1 stop,In-flight meal not included,5406.0,4.0,6.0,5.0,7.0,12.0,330.0,1.0,1,0,0,0,Morning,1
9671,Air India,2019-03-24,Kolkata,Banglore,CCU → HYD → BLR,19:00,11:05 25 Mar,16h 5m,1 stop,No info,5567.0,3.0,24.0,6.0,19.0,11.0,965.0,1.0,0,0,0,0,Evening,1
9672,IndiGo,2019-03-27,Delhi,Cochin,DEL → HYD → COK,04:55,16:10,11h 15m,1 stop,No info,6171.0,3.0,27.0,2.0,4.0,16.0,675.0,1.0,0,0,0,0,Night,0
9674,Jet Airways,2019-04-06,Delhi,Cochin,DEL → BOM → COK,22:50,12:35 07 Apr,13h 45m,1 stop,In-flight meal not included,5177.0,4.0,6.0,5.0,22.0,12.0,825.0,1.0,1,0,0,0,Night,1
9675,Multiple carriers,2019-06-12,Delhi,Cochin,DEL → BOM → COK,17:45,01:30 13 Jun,7h 45m,1 stop,No info,6795.0,6.0,12.0,2.0,17.0,1.0,465.0,1.0,0,0,0,0,Evening,0
9676,SpiceJet,2019-05-27,Banglore,Delhi,BLR → DEL,09:30,12:20,2h 50m,non-stop,No info,3625.0,5.0,27.0,0.0,9.0,12.0,170.0,0.0,0,0,0,0,Morning,0
9677,Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,14:00,12:35 19 May,22h 35m,1 stop,In-flight meal not included,12373.0,5.0,18.0,5.0,14.0,12.0,1355.0,1.0,1,0,0,0,Afternoon,1
9678,SpiceJet,2019-05-09,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,5h 15m,1 stop,No info,4963.0,5.0,9.0,3.0,15.0,20.0,315.0,1.0,0,0,0,0,Afternoon,0
